"Date","Share Code","Year High (GHS)","Year Low (GHS)","Previous Closing Price VWAP (GHS)","Opening Price (GHS)","Closing Price VWAP (GHS)","Price Change (GHS)","Closing Bid Price (GHS)","Closing Offer Price (GHS)","Total Shares Traded","Total Value Traded","Last Transaction Price (GHS)"
"2015-04-02","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.80","0","","35.80"
"2015-04-07","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","","0","","35.80"
"2015-04-08","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.80","0","","35.80"
"2015-04-09","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.80","0","","35.80"
"2015-04-10","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-04-13","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-04-14","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-04-15","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","","0","","35.80"
"2015-04-16","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","","0","","35.80"
"2015-04-17","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-04-20","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","34.98","0","","35.80"
"2015-04-21","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-04-22","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-04-23","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-04-24","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-04-27","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-04-28","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-04-29","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-04-30","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","34.95","0","","35.80"
"2015-05-04","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","34.98","0","","35.80"
"2015-05-05","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","","0","","35.80"
"2015-05-06","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-05-07","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","34.80","0","","35.80"
"2015-05-08","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-05-11","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-05-12","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-05-14","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","","0","","35.80"
"2015-05-15","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-05-18","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-05-19","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-05-20","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-05-21","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-05-22","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-05-26","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-05-27","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","","0","","35.80"
"2015-05-28","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-05-29","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-06-01","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-06-02","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","","0","","35.80"
"2015-06-03","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-06-04","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-06-05","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-06-08","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-06-09","GLD","35.80","35.80","35.80","35.80","35.80","0.00","","35.00","0","","35.80"
"2015-06-11","GLD","47.00","35.80","48.39","48.39","47.00","-1.39","","47.00","2,953","","47.00"
